55.5,69.5
41,81.5
53.5,86
46,84
41,73.5
51.5,69
51,62.5
42,75
53.5,83
57.5,71
42.5,72.5
41,80
46,82
46,60.5
49.5,76
41,76
48.5,72.5
51.5,82.5
44.5,70.5
44,66
33,76.5
33.5,78.5
31.5,72
33,81.5
42,59.5
30,64
61,45
49,79
26.5,64.5
34,71.5
42,83.5
29.5,74.5
39.5,70
51.5,66
41.5,71.5
42.5,79.5
35,59.5
38.5,73.5
32,81.5
46,60.5
36.5,53
36.5,53.5
24,60.5
19,57.5
34.5,60
37.5,64.5
35.5,51
37,50.5
21.5,42
35.5,58.5
26.5,68.5
26.5,55.5
18.5,67
40,67
32.5,71.5
39,71.5
43,55.5
22,54
36,62.5
31,55.5
38.5,76
40,75
37.5,63
24.5,58
30,67
33,56
56.5,61
41,57
49.5,63
34.5,72.5
32.5,69
36,73
27,53.5
41,63.5
29.5,52.5
20,65.5
38,65
18.5,74.5
16,72.5
33.5,68
